,locality,type,subtype,price,sale_type,rooms,living_area,equipped_kitchen,furnished,fire,terrace,terrace_area,garden,garden_area,plot_surface,facades,pool,state
9908,9300,2,DUPLEX,850,2,2,120,1,,0,1,15,,,,2,,AS_NEW
9909,2930,1,HOUSE,523000,1,5,241,0,,0,1,,,,722,3,,GOOD
9910,1070,2,APARTMENT,200000,1,2,73,,,0,1,12,,,,,,AS_NEW
9911,1420,,APARTMENT_GROUP,,1,,,,,0,,,,,,,,
9912,1420,1,HOUSE,1680,2,3,140,1,0,0,1,20,1,100,271,2,0,JUST_RENOVATED
9913,9000,,APARTMENT_GROUP,,1,,,,,0,,,,,,,,
9914,1540,1,HOUSE,1300,2,3,137,0,0,0,1,,,,294,2,0,GOOD
9915,5190,1,HOUSE,232000,1,3,130,0,,0,1,60,1,910,1130,3,,TO_BE_DONE_UP
9916,1150,2,APARTMENT,2400,2,3,175,1,0,1,,,,,,,0,AS_NEW
9917,8300,2,DUPLEX,1475000,1,3,135,0,,0,1,,,,,2,0,AS_NEW
9918,3000,2,APARTMENT,1275,2,2,104,0,0,0,1,18,,,,2,0,
9919,1040,2,PENTHOUSE,1350,2,2,69,1,0,0,1,5,1,67,,2,0,AS_NEW
9920,5580,2,APARTMENT,975,2,2,95,1,,0,1,21,,,,,,AS_NEW
9921,1050,1,HOUSE,3750,2,3,260,0,0,0,1,15,,,0,2,0,GOOD
9922,1050,1,HOUSE,3750,2,5,247,1,0,0,1,20,1,80,154,2,0,AS_NEW
9923,2070,1,HOUSE,539000,1,4,273,1,0,1,1,15,1,130,331,3,0,AS_NEW
9924,1050,1,HOUSE,5500,2,4,365,0,0,1,1,24,,,0,2,0,AS_NEW
9925,1060,2,APARTMENT,1040,2,1,45,1,,0,1,3,,,,2,,
9926,1060,2,APARTMENT,3410,2,4,250,0,0,0,1,14,,,,2,0,GOOD
9927,1040,2,APARTMENT,1150,2,1,68,0,0,0,1,,,,,4,0,AS_NEW
9928,1050,2,APARTMENT,950,2,2,70,0,,0,1,,,,,,,GOOD
9929,1150,2,PENTHOUSE,1460,2,2,104,0,1,0,1,30,,,,3,0,GOOD
9930,1020,2,APARTMENT,179000,1,1,55,0,1,0,1,2,,,,2,0,GOOD
9931,7890,1,HOUSE,349000,1,3,138,0,0,0,1,25,1,2000,3090,4,0,TO_BE_DONE_UP
9932,3600,2,GROUND_FLOOR,351500,1,2,112,0,,0,1,21,,,,2,,
9933,2640,2,APARTMENT,895,2,2,82,0,,0,,,,,,,,GOOD
9934,1360,1,MIXED_USE_BUILDING,295000,1,4,270,1,0,0,1,,,,320,2,,GOOD
9935,4100,1,HOUSE,270000,1,3,150,0,,0,1,80,,,140,2,0,JUST_RENOVATED
9936,8400,2,APARTMENT,149000,1,2,,0,,0,,,,,,,,
9937,1654,1,HOUSE,539000,1,4,316,,,0,1,102,1,262,566,,,
9938,2020,1,HOUSE,279000,1,2,113,1,0,0,,,1,30,95,2,,GOOD
9939,2000,2,APARTMENT,2750,2,3,257,,,0,1,65,,,,,,
9940,2500,,APARTMENT_GROUP,,1,,,,,0,,,,,,,,
9941,3190,2,APARTMENT,425000,1,2,100,0,,0,1,20,,,,2,,GOOD
9942,2800,2,GROUND_FLOOR,1180,2,2,107,0,,0,1,,1,115,,2,,GOOD
9943,7500,1,HOUSE,700,2,2,83,0,0,0,,,,,0,2,0,AS_NEW
9944,1140,2,APARTMENT,1200,2,1,70,1,1,0,,,,,,2,0,AS_NEW
9945,2900,1,HOUSE,263000,1,4,159,0,,0,,,,,269,3,,TO_RENOVATE
9946,1000,2,FLAT_STUDIO,830,2,11,400,1,1,0,,,,,,2,,
9947,2660,2,APARTMENT,155000,1,2,74,,,0,1,,,,,2,,
9948,7387,1,HOUSE,90000,1,3,157,0,0,0,,,,,200,3,,TO_RENOVATE
9949,3360,1,VILLA,1950,2,3,300,1,,0,1,1,1,800,816,4,0,AS_NEW
9950,1460,1,HOUSE,445000,1,3,142,,0,0,,,,,378,4,0,GOOD
9951,1200,2,GROUND_FLOOR,490000,1,3,145,0,,0,,,1,250,,3,0,GOOD
9952,2018,2,FLAT_STUDIO,139000,1,1,30,0,,0,,,,,,3,,JUST_RENOVATED
9953,3640,1,HOUSE,995,2,3,122,0,0,0,,,,,564,4,,GOOD
9954,2140,2,APARTMENT,1400,2,4,105,0,,0,1,3,,,,,,
9955,2000,2,APARTMENT,785,2,1,,0,,0,,,,,,,,GOOD
9956,1150,1,HOUSE,749000,1,3,160,0,0,0,1,15,1,334,428,4,0,TO_RENOVATE
9957,6950,1,HOUSE,259000,1,6,204,0,0,0,1,,,,1390,4,0,TO_RENOVATE
9958,1030,2,APARTMENT,250000,1,2,70,1,0,0,1,8,,,,2,0,AS_NEW
9959,4760,1,VILLA,545000,1,5,402,0,,1,1,50,1,4000,7013,4,,GOOD
9960,1080,2,GROUND_FLOOR,275000,1,1,83,0,,0,,,1,36,,2,0,JUST_RENOVATED
9961,1410,1,VILLA,2800,2,5,244,1,,0,1,28,1,1,1000,4,1,GOOD
9962,1040,2,APARTMENT,1850,2,3,,0,1,0,,,,,,2,0,GOOD
9963,8300,2,APARTMENT,379000,1,2,101,,,0,,,,,,,,AS_NEW
9964,7640,1,HOUSE,145000,1,2,114,,,0,,,,,0,4,,
9965,9870,1,HOUSE,280000,1,3,174,,,0,,,,,651,4,,GOOD
9966,7134,2,APARTMENT,700,2,2,74,0,,0,,,,,,2,,GOOD
9967,2200,2,APARTMENT,305000,1,3,135,0,,0,1,,,,,2,,GOOD
9968,3582,1,VILLA,649000,1,5,393,,,0,,,,,2293,4,,GOOD
9969,8370,2,APARTMENT,235000,1,2,55,0,,0,1,,,,,2,,GOOD
9970,2300,2,APARTMENT,408900,1,3,121,0,,0,1,46,,,,2,,
9971,9000,1,HOUSE,1190,2,3,110,0,,0,,,1,51,0,2,,GOOD
9972,9990,2,APARTMENT,875,2,2,90,,0,0,1,7,,,,2,,GOOD
9973,3090,1,HOUSE,1700,2,4,183,0,0,0,1,15,,,569,4,0,
9974,9000,2,GROUND_FLOOR,409000,1,3,113,0,0,0,1,,,,,3,0,GOOD
9975,4030,1,HOUSE,334000,1,3,145,,,0,1,14,,,225,3,,GOOD
9976,4347,1,HOUSE,250000,1,4,120,0,0,0,1,30,1,600,829,3,0,TO_BE_DONE_UP
9977,4000,2,APARTMENT,850,2,2,80,0,,0,1,2,,,,,,AS_NEW
9978,1180,2,APARTMENT,1600,2,1,90,1,1,0,1,5,,,,2,0,AS_NEW
9979,1930,2,APARTMENT,1550,2,2,102,1,0,0,1,18,,,,4,0,GOOD
9980,9940,1,HOUSE,299000,1,2,132,0,0,0,1,10,1,900,1113,3,,TO_BE_DONE_UP
9981,1200,2,APARTMENT,890,2,1,40,0,,0,,,,,,,0,GOOD
9982,1310,1,VILLA,1820,2,4,155,1,0,0,1,30,1,570,687,4,0,GOOD
9983,8860,2,APARTMENT,720,2,2,123,,,0,,,,,,,,GOOD
9984,1150,1,HOUSE,995000,1,5,339,1,,0,1,,,,430,2,0,AS_NEW
9985,7623,1,HOUSE,950,2,3,,,,0,,,,,0,,,
9986,4500,2,APARTMENT,750,2,1,80,1,,0,,,,,,3,,AS_NEW
9987,6041,2,APARTMENT,800,2,1,36,0,1,0,,,,,,2,0,GOOD
9988,9700,1,HOUSE,1285000,1,3,250,0,,0,,,,,3068,,,GOOD
9989,4032,1,HOUSE,149000,1,2,195,0,0,0,,,,,78,2,0,TO_BE_DONE_UP
9990,1620,2,APARTMENT,1200,2,2,80,0,,0,1,27,,,,3,,JUST_RENOVATED
9991,3001,2,APARTMENT,324000,1,3,128,0,,0,1,25,1,160,,,,GOOD
9992,9400,1,HOUSE,89000,1,1,50,0,0,0,,,,,30,2,,TO_RENOVATE
9993,2800,1,HOUSE,319000,1,3,132,0,,0,1,20,1,105,239,2,,TO_RENOVATE
9994,1700,2,APARTMENT,284000,1,1,73,0,,0,1,9,,,,2,,GOOD
9995,1180,2,APARTMENT,2300,2,2,141,1,0,0,1,30,1,1000,,2,0,AS_NEW
9996,1070,1,MIXED_USE_BUILDING,495000,1,1,430,0,0,0,,,,,0,,0,
9997,1030,2,FLAT_STUDIO,930,2,0,30,1,1,0,,,,,,2,0,GOOD
9998,2000,2,FLAT_STUDIO,131500,1,1,,0,,0,,,,,,,,
9999,9000,2,APARTMENT,770,2,1,48,0,0,0,1,,,,,2,0,AS_NEW
10000,8620,2,APARTMENT,595000,1,2,119,,,0,,,,,,,,GOOD
10001,2650,2,APARTMENT,386346,1,1,80,,,0,1,9,1,1000,,,0,
10002,4500,2,APARTMENT,850,2,2,90,0,,0,1,40,,,,3,,
10003,9890,,HOUSE_GROUP,,1,,,,,0,,,,,,,,
10004,1602,2,APARTMENT,339000,1,2,,,,0,1,,,,,,,GOOD
10005,1440,1,HOUSE,225000,1,3,150,0,0,0,,,,,250,4,0,TO_RENOVATE
10006,1000,2,FLAT_STUDIO,1400,2,0,60,,1,0,,,,,,2,0,AS_NEW
10007,1050,2,APARTMENT,1150,2,1,80,0,0,0,1,15,,,,4,,
10008,1420,2,APARTMENT,825,2,2,70,0,0,0,,,,,,3,,
10009,4430,2,APARTMENT,780,2,2,95,0,0,0,1,3,,,,2,0,
10010,6747,1,HOUSE,210000,1,4,190,0,0,0,,,1,150,370,2,0,TO_RENOVATE
10011,1083,,APARTMENT_GROUP,,1,,,,,0,,,,,,,,
10012,9890,2,APARTMENT,1190,2,2,134,,0,0,,,,,,,,GOOD
10013,1420,2,APARTMENT,1450,2,3,130,0,0,0,1,5,,,,4,0,
10014,1050,2,PENTHOUSE,1691500,1,3,199,1,,0,1,49,,,,,,GOOD
10015,1180,2,APARTMENT,670000,1,3,175,0,0,0,1,,,,,2,0,
10016,8580,1,HOUSE,185000,1,2,169,0,,1,,,,,290,3,,GOOD
10017,9320,1,HOUSE,275000,1,3,157,,,0,1,,,,274,2,,GOOD
10018,3800,2,APARTMENT,830,2,0,,,,0,,,,,,,,
10019,1180,2,APARTMENT,1600,2,2,122,,,0,1,,,,,2,,
10020,6000,2,FLAT_STUDIO,625,2,1,,1,1,0,,,,,,,,JUST_RENOVATED
10021,9600,1,HOUSE,435000,1,4,180,0,0,0,1,30,1,1750,2587,4,0,GOOD
10022,1030,2,DUPLEX,1800,2,3,138,1,0,0,1,13,,,,,0,
10023,1150,2,APARTMENT,2000,2,3,150,1,,0,1,4,,,,3,0,AS_NEW
10024,2600,2,APARTMENT,269500,1,3,97,0,,0,1,10,,,,2,,
10025,2570,2,APARTMENT,710,2,1,70,0,,0,1,4,,,,,,GOOD
10026,1000,2,LOFT,1650,2,2,250,1,1,0,1,60,,,,2,0,AS_NEW
10027,4880,1,HOUSE,1450,2,4,154,1,0,0,1,,1,380,439,2,0,GOOD
10028,1040,1,MIXED_USE_BUILDING,325000,1,2,125,0,,0,,,,,46,2,,TO_RENOVATE
10029,9920,2,APARTMENT,750,2,2,80,0,,0,,,,,,,,GOOD
10030,6200,2,DUPLEX,795,2,2,65,,,0,1,,,,,,,
10031,4000,1,APARTMENT_BLOCK,449000,1,4,282,0,0,0,1,32,,,250,2,0,
10032,2440,2,APARTMENT,349700,1,2,104,0,,0,1,21,,,,2,,
10033,8420,2,APARTMENT,230000,1,2,75,,1,0,1,,,,,2,0,
10034,1050,1,MIXED_USE_BUILDING,1250000,1,5,400,0,,0,1,1,,,140,2,0,GOOD
10035,2300,2,APARTMENT,750,2,2,85,0,,0,,,,,,2,,GOOD
10036,2491,2,APARTMENT,695,2,2,105,,0,0,1,7,,,,,,AS_NEW
10037,1150,1,VILLA,5400,2,7,390,1,0,1,1,60,1,400,500,4,1,AS_NEW
10038,2970,1,VILLA,789000,1,6,253,0,,0,1,71,1,615,0,4,,GOOD
10039,9630,1,HOUSE,545000,1,4,174,0,0,0,1,,,,1758,4,0,GOOD
10040,1030,,APARTMENT_GROUP,,1,,,,,0,,,,,,,,
10041,2490,,APARTMENT_GROUP,,1,,,,,0,,,,,,,,
10042,3001,2,FLAT_STUDIO,730,2,0,38,0,,0,,,,,,2,,GOOD
10043,7021,2,DUPLEX,209000,1,3,145,0,0,0,1,,,,,,0,AS_NEW
10044,1200,2,APARTMENT,1325,2,1,63,1,1,0,1,5,,,,2,0,AS_NEW
10045,1348,1,HOUSE,1750,2,4,190,0,0,0,1,20,1,100,242,3,0,JUST_RENOVATED
10046,2018,2,APARTMENT,820,2,1,50,,,0,,,,,,,,
10047,5377,1,HOUSE,800,2,2,111,0,,0,1,15,1,500,500,,,JUST_RENOVATED
10048,1190,2,APARTMENT,215000,1,1,60,0,0,0,,,,,,2,0,TO_RENOVATE
10049,1000,2,FLAT_STUDIO,680,2,0,34,1,1,0,,,,,,2,0,GOOD
10050,1000,2,APARTMENT,1150,2,1,75,0,0,0,1,30,,,,4,,
10051,9850,1,HOUSE,825000,1,3,257,,,0,1,,,,795,4,,AS_NEW
10052,8000,,APARTMENT_GROUP,,1,,,,,0,,,,,,,,
10053,8400,2,APARTMENT,409000,1,2,88,1,,0,1,11,,,,,0,AS_NEW
10054,1210,2,FLAT_STUDIO,1350,2,1,56,1,1,0,1,10,,,,,0,JUST_RENOVATED
10055,2811,1,HOUSE,359000,1,3,126,0,,0,1,15,1,82,163,2,,GOOD
10056,8500,1,HOUSE,220000,1,4,145,0,,0,1,,,,200,2,,TO_RENOVATE
10057,1160,2,APARTMENT,1250,2,2,100,0,0,0,1,16,,,,4,,AS_NEW
10058,9300,,APARTMENT_GROUP,,1,,,,,0,,,,,,,,
10059,7090,2,APARTMENT,199000,1,2,81,0,0,0,1,10,,,,2,0,
10060,7602,1,HOUSE,285000,1,3,130,0,,0,,,,,400,3,,JUST_RENOVATED
10061,1160,2,APARTMENT,3150,2,3,155,1,1,0,1,200,,,,2,0,GOOD
10062,1160,2,FLAT_STUDIO,320000,1,0,46,1,,0,1,12,,,,,,
